FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Festus Ezeli
(GSW)",Add,C,24,2,78,14.4,2.4,4,0.3,0.9,0.3,0.44,0,0.53,1.8,2.2,0.8,261.4,18,7.7,0.53
,"Mirza Teletovic
(BKL)",Add,F,28,2,54,9.3,3.5,1.8,0.4,0.1,0.2,0.44,0.34,0.82,0.6,1.1,0.4,135.7,45,7.6,0.82
,"Drew Gooden
(WAS)",Add,FC,32,12,16,9.4,3.2,1.9,0.4,0.4,0.3,0.34,0.2,0.69,0.8,1.1,0.6,152.7,44,7.5,0.8
,"Kendall Marshall
(MIL)",Add,G,23,2,48,14.7,3,0.9,3,0.1,0.5,0.42,0.32,0.57,0.1,0.8,1.2,174.8,56,7.5,0.51
,"Bernard James
(DAL)",Add,F,29,2,46,9.9,2.8,2.8,0.2,0.8,0.3,0.52,0,0.61,1.1,1.7,0.4,261.3,7,7.4,0.75
,"Hamed Haddadi
(*FA)",Add,C,29,6,30,10.7,2.8,3.7,0.4,0.9,0.2,0.43,0,0.52,1.4,2.3,1,162.8,2,7.2,0.67
,"Christapher Johnson
(BOS)",Add,F,24,2,8,12.6,3.6,1.4,0.2,0,0.4,0.71,0.33,0.5,0.6,0.8,0.4,158.3,13,7.2,0.57
,"Daniel Orton
(*FA)",Add,C,24,3,12,8.6,2.8,2.1,0.3,0.2,0.3,0.48,0,0.53,1.1,1,0.3,220.6,6,7,0.82
,"Ish Smith
(HOU)",Add,G,26,4,50,10.3,2.5,1.2,1.8,0.2,0.4,0.36,0.31,0.43,0.2,1,0.7,150.5,14,6.8,0.66
,"Timofey Mozgov
(DEN)",Add,C,28,4,38,9.6,2.8,2.8,0.2,0.5,0.2,0.52,0,0.77,1.3,1.5,0.7,109.3,64,6.7,0.7
,"Xavier Henry *
(LAL)",Add,G,23,4,49,12.8,4,1.8,0.3,0.1,0.3,0.41,0.36,0.63,0.4,1.4,0.6,252,33,6.7,0.52
,"Jeremy Lamb
(OKL)",Add,G,22,2,23,6.4,3.1,0.8,0.2,0.1,0.1,0.39,0.3,1,0.2,0.6,0.3,187.5,45,6.5,1.01
,"Hasheem Thabeet
(PHI)",Add,C,27,5,66,11.6,2.4,2.9,0.2,0.9,0.4,0.61,0,0.61,1,1.9,0.6,266.7,7,6.4,0.55
,"Perry Jones
(OKL)",Add,F,22,2,38,7.6,2.3,1.7,0.3,0.2,0.1,0.4,0,0.67,0.3,1.3,0.4,236.3,19,6,0.8
,"Ryan Hollins
(*FA)",Add,C,29,8,60,11.1,3.4,2.3,0.2,0.6,0.1,0.61,0,0.75,0.8,1.5,0.7,290.5,11,6,0.54
,"Tony Wroten
(PHI)",Add,G,21,2,34,7.9,2.7,0.8,1.3,0.1,0.2,0.41,0.25,0.72,0.4,0.4,0.9,137.2,50,6,0.75
,"Joel Freeland
(POR)",Add,F,27,2,50,9.5,2.7,2.4,0.3,0.2,0.3,0.41,0,0.67,0.8,1.6,0.4,242.3,21,5.9,0.62
,"Aron Baynes
(SAS)",Add,C,27,2,15,9.5,2.9,2.1,0.3,0.4,0.1,0.51,0,0.58,0.8,1.3,0.7,231.5,14,5.9,0.62
